Partner code,POS,GB,$txn,Profit,Markup,Fee,Tax
PTM_LIONTRAVEL,PTM,,,,Yes,Yes,Yes
HAA_SPEEDYTRAVEL,HAA,,,,Yes,Yes,Yes
HAA_BEKKOAME,HAA,,,,Yes,Yes,Yes
HAA_GINZ,HAA,,,,Yes,Yes,Yes
HAA_HOTELMR,HAA,,,,Yes,Yes,Yes
PTM_TRAVELTOOLS,PTM,,,,Yes,Yes,Yes
HAA_LASTMINUTESYDNEY,HAA,,,,Yes,Yes,Yes
PTM_EMEDIA,PTM,,,,Yes,Yes,Yes
HAA_MELBOURNEONLINE,HAA,,,,Yes,Yes,Yes
PTM_ABLIFE,PTM,,,,Yes,Yes,Yes
PTM_ISPT,PTM,,,,Yes,Yes,Yes
PTM_ECONATOURS,PTM,,,,Yes,Yes,Yes
HAA_HOTELSLISTING,HAA,,,,Yes,Yes,Yes
PTM_KISHOTAKEGOCHI,PTM,,,,Yes,Yes,Yes
HAA_GOLDCOASTSPECIAL,HAA,,,,Yes,Yes,Yes
HAA_ONLINEHOTEL,HAA,,,,Yes,Yes,Yes
PTM_UNITEDSTAFF,PTM,,,,Yes,Yes,Yes
HAA_HONGKONGHOTELGUI,HAA,,,,Yes,Yes,Yes
PTM_MASTERCARD,PTM,,,,Yes,Yes,Yes
PTM_AUSTRALIENWOHNMO,PTM,,,,Yes,Yes,Yes
PTM_VERACHINNAROD,PTM,,,,Yes,Yes,Yes
PTM_BBROMA,PTM,,,,Yes,Yes,Yes
PTM_ROOMS2GO,PTM,,,,Yes,Yes,Yes
PTM_EURONAVI,PTM,,,,Yes,Yes,Yes
HAA_EXPLORENEWZEALAN,HAA,,,,Yes,Yes,Yes
PTM_SPHEMPLOYEEHOTEL,PTM,,,,Yes,Yes,Yes
PTM_ETRAVEL,PTM,,,,Yes,Yes,Yes
PTM_CHANNEL9STAFF,PTM,,,,Yes,Yes,Yes
PTM_BLUE1STAFF,PTM,,,,Yes,Yes,Yes
PTM_GOLDAIRBENDIGO,PTM,Yes,,,,,
PTM_WEBJETAU,PTM,Yes,,,,,
PTM_VISA_CIMB,PTM,,Yes,,,,
PTM_VISA_THHK,PTM,,Yes,,,,
PTM_ID90,PTM,,,Yes,,,
PTM_AIRNZ_STAFF,PTM,,,,Yes,Yes,Yes
PTM_TAISHINBANK,PTM,,,,Yes,Yes,Yes
PTM_CORPORATEKEYS,PTM,Yes,,,,,
PTM_VISA_EN_BIZ,PTM,,Yes,,,,
PTM_TWEETWORLD,PTM,Yes,,,,,
HAA_FLYWEST,HAA,,,,Yes,Yes,Yes
PTM_EUROSTARSTAFF,PTM,,,Yes,,,
PTM_EUROPCAR_STAFF,PTM,,,,Yes,Yes,Yes
PTM_VISA_EN,PTM,,,,Yes,Yes,Yes
PTM_MISATRAVEL,PTM,,Yes,,,,
HAA_REWARDSCENTRAL,HAA,,,,Yes,Yes,Yes
HAA_SMILECITY,HAA,,,,Yes,Yes,Yes
PTM_KWTOURS,PTM,,Yes,,,,
PTM_TOPTRAVEL,PTM,Yes,,,,,
PTM_WEBJETNZ,PTM,Yes,,,,,
PTM_MYREWARDS,PTM,,,,Yes,Yes,Yes
PTM_EXCITEHOLIDAYS,PTM,Yes,,,,,
PTM_BIGPONDMEMBEROFF,PTM,,,,Yes,Yes,Yes
PTM_BOOKMEHOTELS,PTM,Yes,,,,,
PTM_VIRGINAUS,PTM,Yes,,,,,
PTM_YAHOOAUSTRALIA,PTM,,,Yes,,,
PTM_VISA_EN_BIZ,PTM,,Yes,,,,
PTM_VISA_CN,PTM,,Yes,,,,
PTM_VISA_CS,PTM,,Yes,,,,
PTM_CONNOISSEURCLUBM,PTM,,,,Yes,Yes,Yes
PTM_YAHOOAUSTRALIA,PTM,,,,Yes,,Yes
PTM_CARNIVAL_STAFF,PTM,,,,Yes,Yes,Yes
PTM_PRESIDENTIALCARD,PTM,,,,Yes,Yes,Yes
PTM_EAE,PTM,,,,Yes,Yes,Yes
PTM_FLIGHTCENTRESOUT,PTM,,,,Yes,Yes,Yes
HAA_BUDGET,HAA,,,,Yes,Yes,Yes
HAA_APILIFESTYLE,HAA,,,,Yes,Yes,Yes
PTM_KFHBANK,PTM,,Yes,,,,
PTM_FLYASIANA,PTM,,,,Yes,Yes,Yes
PTM_WHATSONGROUP,PTM,,Yes,,,,
PTM_HUANANBANK,PTM,,Yes,,,,
PTM_VISA_KBANK,PTM,,Yes,,,,
PTM_SURETHINGTRAVEL,PTM,,Yes,,,,
PTM_AMEXBONUSREWARDS,PTM,,Yes,,,,
HAA_MEMBERADVANTAGE,HAA,,,,Yes,Yes,Yes
PTM_OPTUS_STAFF,PTM,,,,Yes,Yes,Yes
PTM_ITRAVELPARTNERS,PTM,Yes,,,,,
HAA_ACCOMMODATION,HAA,,,,Yes,Yes,Yes
PTM_OLAVI,PTM,,,,Yes,Yes,Yes
PTM_SAWADEE,PTM,,,Yes,,,
PTM_PRICEBREAKER,PTM,,,,Yes,Yes,Yes
PTM_JAINGSU,PTM,,,,Yes,Yes,Yes
PTM_SKBANK,PTM,Yes,,,,,
PTM_TRAVELINK,PTM,Yes,,,,,
PTM_IDINFUNCOM,PTM,,,,Yes,Yes,Yes
HAA_LASTMINUTEDEALS,HAA,,,,Yes,Yes,Yes
PTM_WINGLOBAL,PTM,,Yes,,,,
HAA_VISITORGUIDE,HAA,,Yes,,,,
DSTA_HIPMUNK,DSTA,Yes,,,,,
DSTA_HIPMUNK,DSTA,Yes,,,,,
DSTA_HIPMUNKYELP,DSTA,Yes,,,,,
DSTA_HIPMUNKYELP,DSTA,Yes,,,,,
DSTA_KAYAK,DSTA,Yes,,,,,
DSTA_KAYAK_AIR,DSTA,Yes,,,,,
DSTA_KAYAK_MOBAIR,DSTA,Yes,,,,,
DSTA_KAYAK_MOBHOT,DSTA,Yes,,,,,
DSTA_KAYAK,DSTA,Yes,,,,,
DSTA_KAYAK_AIR,DSTA,Yes,,,,,
DSTA_KAYAK_MOBAIR,DSTA,Yes,,,,,
DSTA_KAYAK_MOBHOT,DSTA,Yes,,,,,
DSTA_SAVEONRESORTS,DSTA,,,,Yes,Yes,Yes
DSTA_SAVEONRESORTS,DSTA,,,,Yes,Yes,Yes
DSTA_WCTPREMPARTNER,DSTA,,Yes,,,,
INVMER,INVMER,,Yes,,,,
AAL_AMEXENCORE,AAL,,,,Yes,Yes,Yes
MTE_EASYTOBOOK,MTE,Yes,,,,,
MTE_EASYTOBOOKEUR,MTE,Yes,,,,,
MTE_EASYTOBOOKGBP,MTE,Yes,,,,,
MTE_CITYBOOKERSPACK,MTE,Yes,,,,,
MTE_CITYBOOKERSHOT,MTE,Yes,,,,,
MTE_CTMLTDPKG,MTE,,,,Yes,Yes,Yes
MTE_CTMLTD,MTE,,,,Yes,Yes,Yes
MTE_GOHOP,MTE,,,,Yes,Yes,Yes
MTE_GOHOPPACK,MTE,,Yes,,,,
MTE_GOCOMPAREGROSS,MTE,,,,Yes,Yes,Yes
MTE_HOTELMAP,MTE,,,,Yes,Yes,Yes
MTE_INFINITYPACKAGE,MTE,,,,Yes,Yes,Yes
MTE_INFINITYBOOKING,MTE,,,,Yes,Yes,Yes
MTE_LEONARDOPACK,MTE,Yes,,,,,
MTE_LEONARDO,MTE,Yes,,,,,
MTE_NEWSTRAVELPACK,MTE,,,,Yes,Yes,Yes
MTE_NEWSTRAVELSTAND,MTE,,,,Yes,Yes,Yes
MTE_PNPAIRPORTS,MTE,,,,Yes,Yes,Yes
MTE_PNPASSOCIATESSTD,MTE,,,,Yes,Yes,Yes
MTE_PNPWEHOLIDAYS,MTE,,,,Yes,Yes,Yes
MTE_ROOMEXPACKAGE,MTE,,,,Yes,Yes,
MTE_ROOMEXHOTEL,MTE,,,,Yes,Yes,
MTE_ROYALCLUBPACKEUR,MTE,Yes,,,,,
MTE_ROYALCLUBPACKUSD,MTE,Yes,,,,,
MTE_ROYALCLUBEUR,MTE,Yes,,,,,
MTE_ROYALCLUBUSD,MTE,Yes,,,,,
MTE_SIMPLYTRVLGROSS,MTE,,,,Yes,Yes,Yes
MTE_SYDNEYTRAVELPACK,MTE,Yes,,,,,
MTE_SYDNEYTRAVEL,MTE,Yes,,,,,
AM_CA,AM,Yes,,,,,
AM_DE,AM,Yes,,,,,
AM_ES,AM,Yes,,,,,
AM_FR,AM,Yes,,,,,
AM_IN,AM,Yes,,,,,
AM_IT,AM,Yes,,,,,
AM_JP,AM,Yes,,,,,
AM_MX,AM,Yes,,,,,
AM_NL,AM,Yes,,,,,
AM_NZ,AM,Yes,,,,,
AM_SW,AM,Yes,,,,,
AM_UK,AM,Yes,,,,,
CTP_ALLHOTELTAIWAN,CTP,,Yes,,,,
CTP_IMPERIALRINAGRP,CTP,Yes,,,,,
CTP_JTBHAWAIITRAVEL,CTP,Yes,,,,,
CTP_KIATOURSGROSS,CTP,Yes,,,,,
CTP_MISATRAVELGROSS,CTP,Yes,,,,,
CTP_PYOTRAVEL,CTP,,,,Yes,Yes,Yes
CTP_QUNARGROSS,CTP,Yes,,,,,
CTP_TOURBAKSAGROSS,CTP,Yes,,,,,
CTP_TOURS4FUNMOB,CTP,Yes,,,,,
CTP_TOURSFORFUN,CTP,Yes,,,,,
CTP_TRAVELKINGGROSS,CTP,,,,Yes,Yes,Yes
CTP_TRIPANZEEGROSS,CTP,Yes,,,,,
CTP_LIFEINASIA,CTP,Yes,,,,,
CTP_GNRCONNECT,CTP,,,,Yes,Yes,Yes
CTP_ETRAVELGROSS,CTP,Yes,,,,,
CTP_FURSANLEISURE,CTP,Yes,,,,,
CTP_HOTELTRAVELUSD,CTP,Yes,,,,,
CTP_RNRROOMSNRATES,CTP,,,,Yes,,
CTP_UOBTRAVELPLNGR,CTP,,,,Yes,,
CTP_UOBTRVLPLANNERSG,CTP,,,,Yes,,
CTP_YIQIFEICOM,CTP,Yes,,,,,
RQST_ALTOUR_ALTOUR,RQST,Yes,,,,,
RQST_ALTOUR_AMEX,RQST,Yes,,,,,
RQST_ALTOUR_AXREP,RQST,Yes,,,,,
RQST_ALTOUR_CRUISE,RQST,Yes,,,,,
RQST_ALTOUR_SKYHAR,RQST,Yes,,,,,
RQST_ALTOURCAN,RQST,Yes,,,,,
RQST_DEEMWORK,RQST,Yes,,,,,
RQST_EXODUSLAS,RQST,Yes,,,,,
RQST_EXODUSLAS,RQST,Yes,,,,,
RQST_FINDOR,RQST,Yes,,,,,
RQST_FINDOR,RQST,Yes,,,,,
RQST_GETAROOM,RQST,Yes,,,,,
RQST_GLOBALHOTELCARD,RQST,Yes,,,,,
RQST_HOTELBARGAIN,RQST,,,,Yes,Yes,Yes
RQST_LEISURELOYALTY,RQST,,,,Yes,Yes,Yes
RQST_MONTROSEWELLS,RQST,,,,Yes,Yes,Yes
RQST_NEXTJUMP,RQST,Yes,,,,,
RQST_NEXTJUMP,RQST,Yes,,,,,
RQST_PARTNERFUSION,RQST,,,,Yes,Yes,Yes
RQST_PARTNERFUSION,RQST,,,,Yes,Yes,Yes
RQST_REARDENEHI,RQST,Yes,,,,,
RQST_REARDENEHICAN,RQST,Yes,,,,,
RQST_ROCKETMILES,RQST,Yes,,,,,
RQST_ALTOURAVOYA,RQST,Yes,,,,,
RQST_REARDENWORLDTR,RQST,Yes,,,,,
RQST_FLIGHTNETWORKPK,RQST,,,,Yes,Yes,Yes
RQST_VEGASCOM,RQST,,,,Yes,Yes,Yes
RQST_RESERVATIONDESK,RQST,,,,Yes,Yes,Yes
RQST_RESERVATIONDESK,RQST,,,,Yes,Yes,Yes
RQST_CHOOSEAROOM,RQST,,,,Yes,Yes,Yes
RQST_CHOOSEAROOM,RQST,,,,Yes,Yes,Yes
RQST_TRAVELPASS,RQST,,,,Yes,Yes,Yes
RQST_TRAVELPASS,RQST,,,,Yes,Yes,Yes
RQST_RESCOUNTER,RQST,,,,Yes,Yes,Yes
RQST_RESCOUNTER,RQST,,,,Yes,Yes,Yes
RQST_RAZR,RQST,,,,Yes,Yes,Yes
RQST_DISCODONNIE,RQST,Yes,,,,,
RQST_DISCODONNIE,RQST,Yes,,,,,
RQST_TOMORROWWORLD,RQST,Yes,,,,,
RQST_TOMORROWWORLD,RQST,Yes,,,,,
RQST_MOTOGP,RQST,Yes,,,,,
RQST_MOTOGP,RQST,Yes,,,,,
RQST_FAREPORTALCOAES,RQST,,,,Yes,Yes,Yes
RQST_FAREPORTALCOACA,RQST,,,,Yes,Yes,Yes
RQST_FAREPORTALCOAUK,RQST,,,,Yes,Yes,Yes
RQST_FAREPORTALCOAUS,RQST,,,,Yes,Yes,Yes
RQST_FAREPORTALOT,RQST,,,,Yes,Yes,Yes
RQST_FAREPORTALCOSUS,RQST,,,,Yes,Yes,Yes
RQST_FAREPORTALFBUZZ,RQST,,,,Yes,Yes,Yes
RQST_LBFTHOTELWIZ,RQST,,,,Yes,Yes,Yes
RQST_LBFTSMARTFARES,RQST,,,,Yes,Yes,Yes
RQST_LBFTTRAVELATION,RQST,,,,Yes,Yes,Yes
RQST_ROCKETMILES2,RQST,Yes,,,,,
RQST_VEGASGOODBUYS,RQST,,Yes,,,,
RQST_CRUISEPLANNER,RQST,,,,Yes,Yes,Yes
RQST_EMERGINGTRAVEL,RQST,,,,Yes,Yes,Yes
RQST_MONTROSECORP,RQST,,,,Yes,Yes,Yes
RQST_ABCGLOBALSERVIC,RQST,,,,Yes,Yes,Yes
RQST_EASYHOTELREBATE,RQST,Yes,,,,,
RQST_DEEMTRAVEL,RQST,Yes,,,,,
RQST_MCBUSINESS,RQST,Yes,,,,,
RQST_MCLEISURE,RQST,Yes,,,,,
RQST_GLOBALHOTELCARDCA,RQST,Yes,,,,,
RQST_FAREPORTALCMLS,RQST,,,,Yes,Yes,Yes
RQST_LBFTCFLIGHTNOW,RQST,,,,Yes,Yes,Yes
RQST_LBFTLCAIRLINES,RQST,,,,Yes,Yes,Yes
RQST_MONTROSE,RQST,,,,Yes,Yes,Yes
RQST_MONTROSE_CA,RQST,,,,Yes,Yes,Yes
RQST_FLIGHTNETWORKSA,RQST,,,,Yes,Yes,Yes
RQST_KARACITOURS,RQST,,,,Yes,,
RQST_LASVEGASDIRECT,RQST,,,,Yes,,
RQST_DEALANGEL,RQST,,,,Yes,,
RQST_DEALANGEL,RQST,,,,Yes,,
PLQL_BOOKABEDIE,PLQL,Yes,,,,,
PLQL_EVERTRIP,PLQL,Yes,,,,,
PLQL_EXCITEHOLIDAYS,PLQL,Yes,,,,,
PLQL_FURSANTRAVEL,PLQL,Yes,,,,,
PLQL_GOCOMPARENET,PLQL,Yes,,,,,
PLQL_GOGLOBAL,PLQL,Yes,,,,,
PLQL_LASTMINUTE,PLQL,Yes,,,,,
PLQL_LOWCOSTHOL,PLQL,Yes,,,,,
PLQL_ODEGIO,PLQL,Yes,,,,,
PLQL_PNPASSOCIATESNE,PLQL,Yes,,,,,
PLQL_REZLIVE,PLQL,Yes,,,,,
PLQL_ROCKETMILES,PLQL,Yes,,,,,
PLQL_ROOMSXML,PLQL,Yes,,,,,
PLQL_RTS,PLQL,Yes,,,,,
PLQL_RTSEU,PLQL,Yes,,,,,
PLQL_TOURS4FUN,PLQL,Yes,,,,,
PLQL_TRANSASIAAIR,PLQL,Yes,,,,,
PLQL_TRAVELKINGNET,PLQL,Yes,,,,,
PLQL_TRIPPANDA,PLQL,Yes,,,,,
PLQL_WESTMINSTERNET,PLQL,Yes,,,,,
PLQL_SIMPLYTRVLNET,PLQL,Yes,,,,,
PLQL_PNPWEHOLIDAYS,PLQL,Yes,,,,,
PLQL_PNPAIRPORTS,PLQL,Yes,,,,,
PLQL_MISATRAVELNET,PLQL,Yes,,,,,
PLQL_METHABOOKFZ,PLQL,Yes,,,,,
PLQL_LBFTHotelwiz,PLQL,Yes,,,,,
PLQL_HRCLINK,PLQL,Yes,,,,,
PLQL_ALLHOTELTAIW,PLQL,Yes,,,,,
PLQL_AERLINGUS,PLQL,Yes,,,,,
PLQL_IMPERIALRINAGRP,PLQL,Yes,,,,,
PLQL_TRIPANZEENET,PLQL,Yes,,,,,
PLQL_SPIDERHOLIDAYS,PLQL,Yes,,,,,
PLQL_FARAHATINTL,PLQL,Yes,,,,,
PLQL_SYDNEYTRAVEL,PLQL,Yes,,,,,
PLQL_ROCKETMILES2,PLQL,Yes,,,,,
HAA_EXCITEHOLIDAYPKG,HAA,,,,,,
HAA_WEBJET_AU,HAA,Yes,,,,,
HAA_WEBJET_NZ,HAA,Yes,,,,,
HAA_ZUJIAU,HAA,,,,,,
HAA_ZUJIHONGKONG,HAA,,,,,,
HAA_ZUJISINGAPORE,HAA,Yes,,,,,
HAA_ZUJIVIRGINAUS,HAA,Yes,,,,,
HAA_EXCITEHOLIDAYS,HAA,,,,Yes,Yes,Yes
HAA_HOTEL_AU,HAA,,,,Yes,Yes,Yes
HAA_ISPEEDY,HAA,,,,Yes,Yes,Yes
HAA_MONTROSE,HAA,,,,Yes,Yes,Yes
HAA_MONTROSE_CA,HAA,,,,Yes,Yes,Yes
HAA_NINE76,HAA,,,,Yes,Yes,Yes
HAA_REGIONALEXP,HAA,,,,Yes,Yes,Yes
HAA_STREETDIR,HAA,,,,Yes,Yes,Yes
HAA_STREETDIR_AU,HAA,,,,Yes,Yes,Yes
HAA_TRAVELROOMS,HAA,,,,Yes,Yes,Yes
HAA_TRAVELROOMS_AU,HAA,,,,Yes,Yes,Yes
HAA_TRAVELROOMS_EU,HAA,,,,Yes,Yes,Yes
HAA_TRAVELROOMS_US,HAA,,,,Yes,Yes,Yes
HAA_CHECKINCOMAU,HAA,,,,Yes,Yes,Yes
HAA_EQUAVISTA,HAA,,,,Yes,Yes,Yes
HAA_YOUBIBI,HAA,,,,Yes,Yes,Yes
HAA_ASIAHOT - NO PAYEE SET UP,HAA,Yes,,,,,
HAA_TRAVELKING,HAA,,,,Yes,Yes,Yes
HAA_ROSHCOMPUNET- NO PAYEE,HAA,,,,Yes,Yes,Yes
HAA_BYOJETPACKAGE,HAA,,,,Yes,Yes,Yes
HAA_BYOJETHOTELSA,HAA,,,,Yes,Yes,Yes
CHS_PARTNERFUSION,CHS,Yes,,,,,
AM_AU_AMAU,AM,,,,,,
AMS_AMADEUS,AMS,,,Yes,,,
MAR_AMEXAGENTS,MAR,Yes,,,,,
MAR_HAWAIIANAIRLINES,MAR,Yes,,,,,
MAR_AIRCANADANEAT,MAR,Yes,,,,,
MAR_TLGSTREAM,MAR,Yes,,,,,
MAR_ALTITUDELON,MAR,Yes,,,,,
MAR_VEIINTERNATIONAL,MAR,Yes,,,,,
MAR_SOUTHWESTWIFI,MAR,Yes,,,,,
FRN_BEIJINGGOLDEN,FRN,Yes,,,,,
FRN_TRANSASIA,FRN,,,Yes,,,
FRN_HOTELDEALSSG,FRN,Yes,,,,,
FRN_UOBTRAVEL (Net+),FRN,Yes,,,,,
FRN_RTS,FRN,Yes,,,,,
FRN_MANGOCITYPKGNET,FRN,Yes,,,,,
FRN_CHINAEASTERN,FRN,Yes,,,,,
FRN_EVAAIR,FRN,Yes,,,,,
FRN_ETRAVELONLINE (net+),FRN,Yes,,,,,
FRN_GALAXYTOUR (net+),FRN,Yes,,,,,
FRN_HOLIDAYTOURTRA,FRN,Yes,,,,,
TVE_UTRAVEL,TVE,Yes,,,,,
TVE_GREATWESTERN,TVE,Yes,,,,,
TVE_GREATWESTERNEMP,TVE,Yes,,,,,
TVE_OMEGATRAVEL (Net+),TVE,Yes,,,,,
TVE_AERLINGUS,TVE,Yes,,,,,
TVE_AERLINGUSEMPLOYEE (net+ - needs to be created in PWS),TVE,Yes,,,,,
TVE_BILETBANK (Net+),TVE,Yes,,,,,
TVE_GOGLOBALTRAVEL (Net+),TVE,Yes,,,,,
TVE_SEARCH4SUN,TVE,Yes,,,,,
TVE_AIGLEAZUR,TVE,Yes,,,,,
MOT_HOTELCLUBAGENTS (net+),MOT,Yes,,,,,
